building_id,building_name,zone_id,building_type,owner_name,address,lat,lon,status
B000,No Building,Z0,N/A,N/A,N/A,0.0,0.0,N/A
B001,El-Fouad Hospital,Z1,Hospital,Mariam Ahmed,21 El Teseen St.,30.019476,31.493895,Active
B002,El-Fouad Hospital,Z1,Hospital,Fatima Zahra,63 El Sadat Axis,30.01088,31.499342,Active
B003,Delta Tower,Z2,Commercial,Omar Khaled,53 North Investors Area,30.023827,31.501375,Active
B004,Misr Tower,Z1,Commercial,Youssef Hassan,42 Mostafa Kamel Axis,30.011038,31.487525,Active
B005,Villa 83,Z5,Residential,Khaled El Masry,80 Mostafa Kamel Axis,30.030989,31.512318,Active
B006,Concorde Mall,Z4,Mall,Ahmed Mahmoud,88 Mostafa Kamel Axis,30.039287,31.508427,Active
B007,Villa 197,Z2,Residential,Ahmed Mahmoud,86 El Zohour District,30.018391,31.501852,Active
B008,Villa 67,Z5,Residential,Ahmed Mahmoud,76 North Investors Area,30.039765,31.51508,Active
B009,Concorde Mall,Z4,Mall,Salma Ali,1 El Choueifat St.,30.038967,31.50482,Active
B010,Future School,Z3,Educational,Mohamed Adel,11 North Investors Area,30.037139,31.493379,Planned
B011,Villa 97,Z1,Residential,Aya Mohamed,31 El Sadat Axis,30.020117,31.498777,Active
B012,Villa 16,Z5,Residential,Ali Ibrahim,34 Gamal Abdel Nasser Axis,30.027895,31.515411,Active
B013,Concorde Mall,Z4,Mall,Aya Mohamed,69 South Investors Area,30.037395,31.496196,Active
B014,Modern School,Z3,Educational,Youssef Hassan,50 El Sadat Axis,30.03976,31.489278,Active
B015,Villa 60,Z1,Residential,Aya Mohamed,7 Mostafa Kamel Axis,30.014967,31.481605,Active
B016,Cleopatra Hospital,Z5,Hospital,Fatima Zahra,88 North Investors Area,30.025333,31.510124,Active
B017,Concorde Mall,Z5,Mall,Aya Mohamed,84 El Sadat Axis,30.029842,31.516063,Active
B018,Villa 55,Z5,Residential,Khaled El Masry,76 El Zohour District,30.025098,31.512337,Active
B019,Cleopatra Hospital,Z1,Hospital,Fatima Zahra,97 Gamal Abdel Nasser Axis,30.023284,31.48512,Active
B020,Cairo Tower,Z5,Commercial,Youssef Hassan,6 South Investors Area,30.038027,31.512424,Active
B021,Cairo Tower,Z1,Commercial,Hassan El Shafei,20 El Sadat Axis,30.023289,31.48085,Planned
B022,Delta Tower,Z4,Commercial,Khaled El Masry,10 El Sadat Axis,30.029735,31.495374,Active
B023,Future School,Z1,Educational,Tarek El Shenawy,22 South Investors Area,30.021043,31.483608,Active
B024,Villa 70,Z4,Residential,Mohamed Adel,10 North Investors Area,30.033283,31.500314,Under Maintenance
B025,Villa 52,Z5,Residential,Fatima Zahra,56 El Sadat Axis,30.034005,31.511035,Active
B026,Modern School,Z2,Educational,Youssef Hassan,51 El Zohour District,30.011704,31.512181,Active
B027,Villa 132,Z3,Residential,Tarek El Shenawy,90 North Investors Area,30.031112,31.494143,Active
B028,Villa 85,Z5,Residential,Aya Mohamed,68 South Investors Area,30.026209,31.514522,Active
B029,Cleopatra Hospital,Z5,Hospital,Hassan El Shafei,59 El Teseen St.,30.02587,31.519255,Planned
B030,Cairo Tower,Z2,Commercial,Omar Khaled,23 North Investors Area,30.012535,31.504454,Active
B031,Villa 102,Z3,Residential,Mohamed Adel,21 El Sadat Axis,30.028514,31.493038,Active
B032,Villa 152,Z3,Residential,Khaled El Masry,98 El Choueifat St.,30.035187,31.491381,Active
B033,Villa 123,Z5,Residential,Aya Mohamed,33 North Investors Area,30.038554,31.519638,Active
B034,El-Karma Hospital,Z5,Hospital,Mohamed Adel,40 El Zohour District,30.035047,31.511649,Under Maintenance
B035,Cairo Tower,Z1,Commercial,Hassan El Shafei,16 North Investors Area,30.012144,31.495573,Active
B036,Villa 17,Z4,Residential,Tarek El Shenawy,69 El Choueifat St.,30.02852,31.509647,Active
B037,Al-Alson School,Z4,Educational,Aya Mohamed,19 El Sadat Axis,30.034042,31.498944,Active
B038,Villa 46,Z3,Residential,Mohamed Adel,39 El Teseen St.,30.035,31.481424,Active
B039,Point 90 Mall,Z2,Mall,Ahmed Mahmoud,87 El Sadat Axis,30.023318,31.518858,Active
B040,Cairo Tower,Z5,Commercial,Khaled El Masry,55 Mostafa Kamel Axis,30.030655,31.519265,Active
B041,Concorde Mall,Z5,Mall,Fatima Zahra,76 Mostafa Kamel Axis,30.034377,31.511693,Active
B042,Villa 45,Z5,Residential,Hassan El Shafei,66 North Investors Area,30.028032,31.514679,Active
B043,Villa 180,Z5,Residential,Mona Abdelaziz,71 South Investors Area,30.037245,31.511646,Active
B044,Villa 94,Z5,Residential,Ali Ibrahim,90 El Sadat Axis,30.028561,31.512075,Active
B045,Point 90 Mall,Z4,Mall,Aya Mohamed,56 North Investors Area,30.035183,31.495382,Active
B046,Delta Tower,Z1,Commercial,Nourhan Tarek,81 El Zohour District,30.023379,31.487693,Active
B047,Cairo Tower,Z1,Commercial,Fatima Zahra,93 Mostafa Kamel Axis,30.019112,31.483243,Under Maintenance
B048,Villa 80,Z2,Residential,Mohamed Adel,34 El Sadat Axis,30.011016,31.503576,Active
B049,Villa 170,Z2,Residential,Khaled El Masry,75 Mostafa Kamel Axis,30.010131,31.515248,Active
B050,Concorde Mall,Z2,Mall,Mohamed Adel,44 Mostafa Kamel Axis,30.020909,31.515078,Active
B051,Delta Tower,Z1,Commercial,Fatima Zahra,98 El Zohour District,30.018256,31.486541,Active
B052,Villa 51,Z4,Residential,Tarek El Shenawy,88 South Investors Area,30.025035,31.503758,Active
B053,Villa 191,Z2,Residential,Mariam Ahmed,22 Mostafa Kamel Axis,30.024662,31.503421,Active
B054,Villa 100,Z3,Residential,Ahmed Mahmoud,93 El Teseen St.,30.032911,31.489566,Active
B055,Future School,Z5,Educational,Tarek El Shenawy,85 El Zohour District,30.025895,31.514265,Active
B056,Delta Tower,Z5,Commercial,Aya Mohamed,45 South Investors Area,30.029074,31.519131,Active
B057,Villa 187,Z1,Residential,Hassan El Shafei,60 Mostafa Kamel Axis,30.01725,31.491333,Under Maintenance
B058,Villa 83,Z3,Residential,Khaled El Masry,96 El Zohour District,30.037531,31.484344,Active
B059,El-Karma Hospital,Z4,Hospital,Salma Ali,17 Mostafa Kamel Axis,30.038021,31.50125,Active
B060,Villa 30,Z1,Residential,Khaled El Masry,26 El Sadat Axis,30.012747,31.495482,Active
B061,Delta Tower,Z1,Commercial,Amr Diab,55 South Investors Area,30.019662,31.487114,Active
B062,Misr Tower,Z3,Commercial,Mohamed Adel,85 Mostafa Kamel Axis,30.033063,31.485771,Active
